CPUs_used,Model,Execution_time,Prediction,Score
1,KNeighbors,0.2479,4,0.13
2,KNeighbors,0.2486,4,0.13
3,KNeighbors,0.2514,4,0.13
4,KNeighbors,0.2466,4,0.13
5,KNeighbors,0.2562,4,0.13
6,KNeighbors,0.2506,4,0.13
7,KNeighbors,0.2452,4,0.13
8,KNeighbors,0.2512,4,0.13
9,KNeighbors,0.247,4,0.13
10,KNeighbors,0.2492,4,0.13
11,KNeighbors,0.2552,4,0.13
12,KNeighbors,0.249,4,0.13
1,Random_Forest,3.1475,4,0.1559
2,Random_Forest,3.116,15,0.1622
3,Random_Forest,3.1143,8,0.1597
4,Random_Forest,3.1603,15,0.1609
5,Random_Forest,3.1145,4,0.1603
6,Random_Forest,3.1326,8,0.1591
7,Random_Forest,3.1333,15,0.1634
8,Random_Forest,3.1137,14,0.1584
9,Random_Forest,3.1922,8,0.1584
10,Random_Forest,3.1229,8,0.1616
11,Random_Forest,3.1255,8,0.1628
12,Random_Forest,3.1197,15,0.1591
1,SGD,1.531,12,0.1319
2,SGD,1.5477,16,0.1391
3,SGD,1.5255,16,0.1328
4,SGD,1.5428,16,0.1403
5,SGD,1.5068,8,0.1488
6,SGD,1.5228,11,0.1416
7,SGD,1.5362,8,0.1275
8,SGD,1.521,16,0.1428
9,SGD,1.5288,16,0.1144
10,SGD,1.509,16,0.1428
11,SGD,1.5053,13,0.1378
12,SGD,1.5116,16,0.1356
