CPUs_used,Model,Execution_time,Prediction,Score
1,KNeighbors,0.271,4.0,0.13
2,KNeighbors,0.2571,4.0,0.13
3,KNeighbors,0.2813,4.0,0.13
4,KNeighbors,0.2677,4.0,0.13
5,KNeighbors,0.2695,4.0,0.13
6,KNeighbors,0.2825,4.0,0.13
7,KNeighbors,0.3632,4.0,0.13
8,KNeighbors,0.3316,4.0,0.13
9,KNeighbors,0.2501,4.0,0.13
10,KNeighbors,0.2923,4.0,0.13
11,KNeighbors,0.3017,4.0,0.13
12,KNeighbors,0.3568,4.0,0.13
13,KNeighbors,0.2927,4.0,0.13
14,KNeighbors,0.2862,4.0,0.13
15,KNeighbors,0.3026,4.0,0.13
16,KNeighbors,0.4763,4.0,0.13
1,Random_Forest,2.0807,14.0,0.159
2,Random_Forest,1.9834,15.0,0.1603
3,Random_Forest,1.9835,8.0,0.1572
4,Random_Forest,1.9937,8.0,0.1553
5,Random_Forest,1.955,8.0,0.1534
6,Random_Forest,1.9522,4.0,0.1641
7,Random_Forest,1.9692,5.0,0.1603
8,Random_Forest,1.967,4.0,0.1628
9,Random_Forest,1.9724,5.0,0.1622
10,Random_Forest,2.0216,5.0,0.1584
11,Random_Forest,1.9809,15.0,0.1591
12,Random_Forest,2.0331,14.0,0.1603
13,Random_Forest,1.9734,15.0,0.1591
14,Random_Forest,1.9771,5.0,0.1541
15,Random_Forest,2.0745,4.0,0.1559
16,Random_Forest,2.0071,14.0,0.1572
1,SGD,1.8463,17.0,0.1459
2,SGD,1.5858,12.0,0.1297
3,SGD,1.6668,13.0,0.1391
4,SGD,1.6171,16.0,0.1453
5,SGD,1.6061,8.0,0.1328
6,SGD,1.6216,16.0,0.1303
7,SGD,1.628,8.0,0.1487
8,SGD,1.7742,16.0,0.1422
9,SGD,1.69,16.0,0.1294
10,SGD,1.6103,8.0,0.1278
11,SGD,1.7006,13.0,0.1409
12,SGD,1.7848,13.0,0.1266
13,SGD,1.5678,16.0,0.1356
14,SGD,1.5981,13.0,0.1428
15,SGD,1.6272,8.0,0.1319
16,SGD,1.6245,16.0,0.1313
