CPUs_used,Model,Execution_time,Prediction,Score
1,KNeighbors,0.2446,4.0,0.13
2,KNeighbors,0.2648,4.0,0.13
3,KNeighbors,0.2621,4.0,0.13
4,KNeighbors,0.2664,4.0,0.13
5,KNeighbors,0.2611,4.0,0.13
6,KNeighbors,0.2498,4.0,0.13
7,KNeighbors,0.2521,4.0,0.13
8,KNeighbors,0.2419,4.0,0.13
1,Random_Forest,2.0401,4.0,0.1609
2,Random_Forest,2.0352,14.0,0.1584
3,Random_Forest,1.9877,15.0,0.1615
4,Random_Forest,2.0699,5.0,0.1591
5,Random_Forest,2.0013,8.0,0.1566
6,Random_Forest,1.9346,8.0,0.1622
7,Random_Forest,1.9353,15.0,0.1566
8,Random_Forest,1.9981,4.0,0.1584
1,SGD,1.6629,16.0,0.1441
2,SGD,1.6663,18.0,0.1359
3,SGD,1.6134,8.0,0.1297
4,SGD,1.793,16.0,0.1487
5,SGD,1.5973,8.0,0.1366
6,SGD,1.6055,17.0,0.1475
7,SGD,1.6275,13.0,0.1319
8,SGD,1.6233,8.0,0.1297
